alpha,mode,use_networkx,n,d,outlier_scale,exp_list_T,exp_list_R,exp_list_lambda,exp_list_dL,exp_list_r,exp_list_theta,exp_list_rho,exp_list_cluster_radius,exp_list_num_cands,exp_list_best_err,exp_list_best_mse,seed
1.0,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.5128798472253079,0.252171673173229,0
1.0,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.582106347525347,0.34693581424565917,1
1.0,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7270947433776697,0.5301307399886,2
1.0,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.820834827717658,0.6881972417669691,3
1.0,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7858985927335029,0.6261585557210053,4
1.0,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.685762871715897,0.11883865928325045,0.48871880497909254,0.16519881489615054
0.95,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.5597859463237356,0.33618387555031404,0
0.95,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.4363797444914378,0.18559127536179046,1
0.95,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7068049527938092,0.48347025510471003,2
0.95,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.1646284250657368,1.397931604386716,3
0.95,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7999693570710041,0.6152438231280847,4
0.95,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,0.7335136851491447,0.24878084235572998,0.6036841667063231,0.42232027515202253
0.9,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6677187877178692,0.45907198055106724,0
0.9,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.5053796168664473,0.26010551392076514,1
0.9,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8283859078062976,0.7073332879960733,2
0.9,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6354494387661539,0.40954287878709844,3
0.9,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.0405224907797466,1.0452635412378637,4
