alpha,mode,use_networkx,n,d,outlier_scale,exp_single_dL,exp_single_lambda,exp_list_T,exp_list_R,exp_list_lambda,ols_err,ols_mse,ridge_err,ridge_mse,huber_err,huber_mse,ransac_err,ransac_mse,theilsen_err,theilsen_mse,exp_single_err,exp_single_mse,exp_list_num_cands,exp_list_best_err,exp_list_best_mse,seed
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.349299423390018,5.756348722174654,10,0.815904222883933,0.663111566216372,0
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,1.5622744636085868,2.4139600681487847,1.5632735994874747,2.416877805644074,0.6764150098737776,0.4516205617772621,5.718441994000068,33.46001025268347,1.4960241937749377,2.192201788990551,1.5490890748399126,2.3764168106426498,10,0.379696059555395,0.13932849392732308,1
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.5124979580548197,5.96412441816753,2.5128082693214413,5.965572249773697,1.3979740198724624,1.84363904125199,4.28513291530313,18.413200642502584,2.3801518281053005,5.362976973525818,2.5108292348051138,5.955212778667903,10,0.6697958473234266,0.4493965801511268,2
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.2238737598700187,10.579932428349446,3.2248000063454274,10.58599865183987,2.0335445900606968,4.20797854694373,4.606137938398059,20.01803671652169,3.083426139980876,9.730356609455342,3.248164548538555,10.729922388531467,10,1.01916352661334,1.0294553806192932,3
0.4,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.9960557095940428,8.92355843833138,2.99648109992997,8.926176309858405,1.881182025267652,3.511365699463559,6.448222369088343,41.02333488155846,2.906683676894768,8.424227813806212,3.0192613504478762,9.048122074471063,10,0.8406925600116374,0.7517007955017577,4
0.4,10,0,10.0,0.001,uniform,7,2,0.001,5000,20,mean,5,2.527424963318234,0.5780345593750768,6.722956944479089,2.822827942454619,2.5278899804213424,0.5780131861028573,6.725128099175384,2.8240800354212006,1.446799929010733,0.48365360295416826,2.326799159225459,1.3558906455390711,4.967708524723875,0.9758456641112723,25.47507781013577,10.064502192635175,2.4228322161654168,0.5589098741135905,6.189222473876485,2.649592546987016,2.5353287264042956,0.5916420321305719,6.773204554897546,2.8936383510871284,10.0,0.0,0.7450504432775464,0.2137534724634688,0.6065985632831746,0.2987005344753992
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.706703235412926,7.705302529455759,10,0.7277112796569178,0.5235050106662142,0
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,1.8510787166803677,3.417455168331852,1.8521270998651251,3.4211401377866806,1.290673487781137,1.671422660951691,6.388670208787503,41.69966815211427,1.867624455660592,3.4941405578925036,1.8485549607769196,3.4079566088262445,10,0.6973886952563727,0.49452529532934697,1
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,2.8111308439961507,7.463788925726726,2.8113864698930464,7.4650747326245,2.1027325672325894,4.1861976623321695,4.545376802028713,19.602333373541246,2.7208535494516277,6.937243008971093,2.798729240523526,7.398103460671613,10,0.8207160054131601,0.6491034083720022,2
0.3,uniform,0,5000,20,10.0,2,0.001,7,10,0.001,3.804509774347897,14.781453655628852,3.8070465954653545,14.8010627251294,3.1417452915276995,10.085395461624863,5.205637383917263,27.79542279286664,3.6261179893669704,13.493323067704798,3.8115036481628,14.826031956368956,10,1.0651279927502304,1.155276458228828,3
