alpha,mode,use_networkx,n,d,outlier_scale,exp_list_T,exp_list_R,exp_list_lambda,exp_list_dL,exp_list_r,exp_list_theta,exp_list_rho,exp_list_cluster_radius,exp_list_num_cands,exp_list_best_err,exp_list_best_mse,seed
0.3,uniform,0,5000,20,1,7,10,0.001,2,8,0.1,0.5,0.0,10,3.613964080535645,13.689213208334563,0
0.3,uniform,0,5000,20,1,7,10,0.001,2,8,0.1,0.5,0.0,10,2.333650103876845,5.387485096677936,1
0.3,uniform,0,5000,20,1,7,10,0.001,2,8,0.1,0.5,0.0,10,3.6968601597255177,12.842219826920122,2
0.3,uniform,0,5000,20,1,7,10,0.001,2,8,0.1,0.5,0.0,10,5.259948851013904,28.22323945084523,3
0.3,uniform,0,5000,20,1,7,10,0.001,2,8,0.1,0.5,0.0,10,4.837310502751198,23.262783882378375,4
0.3,0,10,7,8,5000,0.5,2,1,uniform,20,0.1,0.001,0.0,mean,5,10.0,0.0,3.9483467395806215,1.0288692005125764,16.680988293031245,8.096587811045726
0.3,uniform,0,5000,20,5,7,10,0.001,2,8,0.1,0.5,0.0,10,1.6479135953953936,2.8871379407437234,0
0.3,uniform,0,5000,20,5,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6093195930611086,0.36274448061781306,1
0.3,uniform,0,5000,20,5,7,10,0.001,2,8,0.1,0.5,0.0,10,1.7326506495243872,2.8504666814751145,2
0.3,uniform,0,5000,20,5,7,10,0.001,2,8,0.1,0.5,0.0,10,3.270734214000082,10.857068247229892,3
0.3,uniform,0,5000,20,5,7,10,0.001,2,8,0.1,0.5,0.0,10,2.97980584701037,9.012108314066522,4
0.3,0,10,7,8,5000,0.5,2,5,uniform,20,0.1,0.001,0.0,mean,5,10.0,0.0,2.0480847797982684,0.9687782734945832,5.193905132826613,4.02002696246584
0.3,uniform,0,5000,20,10,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7277112796569178,0.5235050106662142,0
0.3,uniform,0,5000,20,10,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6973886952563727,0.49452529532934697,1
0.3,uniform,0,5000,20,10,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8207160054131601,0.6491034083720022,2
0.3,uniform,0,5000,20,10,7,10,0.001,2,8,0.1,0.5,0.0,10,1.0651279927502304,1.155276458228828,3
0.3,uniform,0,5000,20,10,7,10,0.001,2,8,0.1,0.5,0.0,10,1.2962954280968,1.7199736688262488,4
0.3,0,10,7,8,5000,0.5,2,10,uniform,20,0.1,0.001,0.0,mean,5,10.0,0.0,0.9214478802346961,0.227612810822394,0.9084767682845281,0.47037664110864014
0.3,uniform,0,5000,20,15,7,10,0.001,2,8,0.1,0.5,0.0,10,0.9764630043538824,0.9252264702877733,0
0.3,uniform,0,5000,20,15,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6905211988687819,0.49705524185195427,1
0.3,uniform,0,5000,20,15,7,10,0.001,2,8,0.1,0.5,0.0,10,1.086213747353022,1.1281671167918992,2
0.3,uniform,0,5000,20,15,7,10,0.001,2,8,0.1,0.5,0.0,10,1.2769732190038598,1.6354365419140495,3
0.3,uniform,0,5000,20,15,7,10,0.001,2,8,0.1,0.5,0.0,10,1.1860378881014315,1.340944829261211,4
0.3,0,10,7,8,5000,0.5,2,15,uniform,20,0.1,0.001,0.0,mean,5,10.0,0.0,1.0432418115361954,0.20284916429517458,1.1053660400213776,0.3845736038190034
0.3,uniform,0,5000,20,20,7,10,0.001,2,8,0.1,0.5,0.0,10,0.965446528413393,0.9347896849437412,0
0.3,uniform,0,5000,20,20,7,10,0.001,2,8,0.1,0.5,0.0,10,0.873821964156831,0.7469193797663091,1
0.3,uniform,0,5000,20,20,7,10,0.001,2,8,0.1,0.5,0.0,10,1.0662925158116836,1.1900942294964798,2
0.3,uniform,0,5000,20,20,7,10,0.001,2,8,0.1,0.5,0.0,10,1.2483504759880721,1.54471833014536,3
0.3,uniform,0,5000,20,20,7,10,0.001,2,8,0.1,0.5,0.0,10,1.261323177991684,1.554051630453052,4
0.3,0,10,7,8,5000,0.5,2,20,uniform,20,0.1,0.001,0.0,mean,5,10.0,0.0,1.0830469324723329,0.15296622770691787,1.1941146509609886,0.32240557731868397
0.3,uniform,0,5000,20,25,7,10,0.001,2,8,0.1,0.5,0.0,10,1.153674332115863,1.3351286679382333,0
0.3,uniform,0,5000,20,25,7,10,0.001,2,8,0.1,0.5,0.0,10,1.0281864794177875,1.0295748079687637,1
0.3,uniform,0,5000,20,25,7,10,0.001,2,8,0.1,0.5,0.0,10,1.1804544999261812,1.4100228988079477,2
0.3,uniform,0,5000,20,25,7,10,0.001,2,8,0.1,0.5,0.0,10,1.6223796997946702,2.7079811391430213,3
