alpha,mode,use_networkx,n,d,outlier_scale,exp_list_T,exp_list_R,exp_list_lambda,exp_list_dL,exp_list_num_cands,exp_list_best_err,exp_list_best_mse
0.3,uniform,0,5000,20,10.0,1,10,0.001,2,10,2.288415864091506,5.4674479546907175
0.3,uniform,0,5000,20,10.0,3,10,0.001,2,10,1.7085642221484898,3.0823430549388995
0.3,uniform,0,5000,20,10.0,5,10,0.001,2,10,1.0558717913466824,1.1584084806758599
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,10,10,0.001,2,10,5.561899891021791,32.15057590290318
0.3,uniform,0,5000,20,10.0,15,10,0.001,2,7,2.710176238474836,7.709002331418777
0.3,uniform,0,5000,20,10.0,1,10,0.001,2,10,2.288415864091506,5.4674479546907175
0.3,uniform,0,5000,20,10.0,3,10,0.001,2,10,1.7085642221484898,3.0823430549388995
0.3,uniform,0,5000,20,10.0,5,10,0.001,2,10,1.0558717913466824,1.1584084806758599
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,10,10,0.001,2,10,5.561899891021791,32.15057590290318
0.3,uniform,0,5000,20,10.0,15,10,0.001,2,7,2.710176238474836,7.709002331418777
0.3,uniform,0,5000,20,10.0,1,10,0.001,2,10,2.288415864091506,5.4674479546907175
0.3,uniform,0,5000,20,10.0,2,10,0.001,2,10,1.9474870877681427,3.908543231738512
0.3,uniform,0,5000,20,10.0,3,10,0.001,2,10,1.7085642221484898,3.0823430549388995
0.3,uniform,0,5000,20,10.0,4,10,0.001,2,10,1.459691376642742,2.2498088887124608
0.3,uniform,0,5000,20,10.0,5,10,0.001,2,10,1.0558717913466824,1.1584084806758599
0.3,uniform,0,5000,20,10.0,6,10,0.001,2,10,0.904024590200509,0.8809280507844798
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,8,10,0.001,2,10,1.4323598602313838,2.086983214575152
0.3,uniform,0,5000,20,10.0,9,10,0.001,2,10,3.5270186884353003,12.123806049761509
0.3,uniform,0,5000,20,10.0,10,10,0.001,2,10,5.561899891021791,32.15057590290318
0.3,uniform,0,5000,20,10.0,11,10,0.001,2,10,9.045226179824727,82.18077380427782
0.3,uniform,0,5000,20,10.0,12,10,0.001,2,10,3.1437591112033854,10.230165092861302
0.3,uniform,0,5000,20,10.0,13,10,0.001,2,10,3.7694535471563144,14.924934038953968
0.3,uniform,0,5000,20,10.0,14,10,0.001,2,7,2.710176238474836,7.709002331418777
0.3,uniform,0,5000,20,10.0,15,10,0.001,2,7,2.710176238474836,7.709002331418777
0.3,uniform,0,5000,20,10.0,1,10,0.001,2,8,0.1,0.5,0.0,10,2.288415864091506,5.4674479546907175
0.3,uniform,0,5000,20,10.0,2,10,0.001,2,8,0.1,0.5,0.0,10,1.9474870877681427,3.908543231738512
0.3,uniform,0,5000,20,10.0,3,10,0.001,2,8,0.1,0.5,0.0,10,1.7085642221484898,3.0823430549388995
0.3,uniform,0,5000,20,10.0,4,10,0.001,2,8,0.1,0.5,0.0,10,1.459691376642742,2.2498088887124608
0.3,uniform,0,5000,20,10.0,5,10,0.001,2,8,0.1,0.5,0.0,10,1.0558717913466824,1.1584084806758599
0.3,uniform,0,5000,20,10.0,6,10,0.001,2,8,0.1,0.5,0.0,10,0.904024590200509,0.8809280507844798
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,8,10,0.001,2,8,0.1,0.5,0.0,10,1.4323598602313838,2.086983214575152
0.3,uniform,0,5000,20,10.0,9,10,0.001,2,8,0.1,0.5,0.0,10,3.5270186884353003,12.123806049761509
0.3,uniform,0,5000,20,10.0,10,10,0.001,2,8,0.1,0.5,0.0,10,5.561899891021791,32.15057590290318
0.3,uniform,0,5000,20,10.0,11,10,0.001,2,8,0.1,0.5,0.0,10,9.045226179824727,82.18077380427782
0.3,uniform,0,5000,20,10.0,12,10,0.001,2,8,0.1,0.5,0.0,10,3.1437591112033854,10.230165092861302
0.3,uniform,0,5000,20,10.0,13,10,0.001,2,8,0.1,0.5,0.0,10,3.7694535471563144,14.924934038953968
0.3,uniform,0,5000,20,10.0,14,10,0.001,2,8,0.1,0.5,0.0,7,2.710176238474836,7.709002331418777
0.3,uniform,0,5000,20,10.0,15,10,0.001,2,8,0.1,0.5,0.0,7,2.710176238474836,7.709002331418777
0.3,uniform,0,5000,20,10.0,1,10,0.001,2,8,0.1,0.5,0.0,10,2.264261366468965,5.38880989875706,0
0.3,uniform,0,5000,20,10.0,1,10,0.001,2,8,0.1,0.5,0.0,10,1.497491193534547,2.25493189911591,1
0.3,uniform,0,5000,20,10.0,1,10,0.001,2,8,0.1,0.5,0.0,10,2.226955918495468,4.6518626531956455,2
0.3,uniform,0,5000,20,10.0,1,10,0.001,2,8,0.1,0.5,0.0,10,3.3304600519891476,11.324091011097746,3
0.3,uniform,0,5000,20,10.0,1,10,0.001,2,8,0.1,0.5,0.0,10,3.127614681227865,9.787654751705345,4
0.3,0.0,10,20,uniform,0.001,5000,0,1,8,0.5,10.0,2,0.1,mean,5,10.0,0.0,2.4893566423431985,0.6660551571087848,6.681470042774341,3.364129285343808
0.3,uniform,0,5000,20,10.0,2,10,0.001,2,8,0.1,0.5,0.0,10,2.0209874647716664,4.277720363487788,0
0.3,uniform,0,5000,20,10.0,2,10,0.001,2,8,0.1,0.5,0.0,10,1.272422668325004,1.6310847929040593,1
0.3,uniform,0,5000,20,10.0,2,10,0.001,2,8,0.1,0.5,0.0,10,2.015615057697818,3.830012446973211,2
0.3,uniform,0,5000,20,10.0,2,10,0.001,2,8,0.1,0.5,0.0,10,3.0410765945061375,9.478867517382914,3
0.3,uniform,0,5000,20,10.0,2,10,0.001,2,8,0.1,0.5,0.0,10,2.8952720360948083,8.339041708149384,4
0.3,0.0,10,20,uniform,0.001,5000,0,2,8,0.5,10.0,2,0.1,mean,5,10.0,0.0,2.2490747642790865,0.6488781673796988,5.511345365779471,2.9374217188435288
0.3,uniform,0,5000,20,10.0,3,10,0.001,2,8,0.1,0.5,0.0,10,1.6450244629853517,2.813102185045106,0
0.3,uniform,0,5000,20,10.0,3,10,0.001,2,8,0.1,0.5,0.0,10,1.1160990270817888,1.2599625208723941,1
0.3,uniform,0,5000,20,10.0,3,10,0.001,2,8,0.1,0.5,0.0,10,1.6753313383035233,2.6290696836531526,2
0.3,uniform,0,5000,20,10.0,3,10,0.001,2,8,0.1,0.5,0.0,10,2.6611181279333183,7.247592679966867,3
0.3,uniform,0,5000,20,10.0,3,10,0.001,2,8,0.1,0.5,0.0,10,2.684267325274304,7.181079140587624,4
0.3,0.0,10,20,uniform,0.001,5000,0,3,8,0.5,10.0,2,0.1,mean,5,10.0,0.0,1.9563680563156574,0.6178152669955829,4.226161242025029,2.4982537869132546
0.3,uniform,0,5000,20,10.0,4,10,0.001,2,8,0.1,0.5,0.0,10,1.4064558644713894,2.102907310367098,0
0.3,uniform,0,5000,20,10.0,4,10,0.001,2,8,0.1,0.5,0.0,10,0.8759536389316933,0.7702043906169606,1
0.3,uniform,0,5000,20,10.0,4,10,0.001,2,8,0.1,0.5,0.0,10,1.4126987496661778,1.858313727133074,2
0.3,uniform,0,5000,20,10.0,4,10,0.001,2,8,0.1,0.5,0.0,10,2.4309234675103744,6.0529518875597725,3
0.3,uniform,0,5000,20,10.0,4,10,0.001,2,8,0.1,0.5,0.0,10,2.393119043399941,5.679439123831569,4
0.3,0.0,10,20,uniform,0.001,5000,0,4,8,0.5,10.0,2,0.1,mean,5,10.0,0.0,1.703830152795915,0.6103035878094398,3.2927632879016953,2.1518163876794163
0.3,uniform,0,5000,20,10.0,5,10,0.001,2,8,0.1,0.5,0.0,10,1.216412471982612,1.538270170853781,0
0.3,uniform,0,5000,20,10.0,5,10,0.001,2,8,0.1,0.5,0.0,10,0.7538149646257214,0.56450792374949,1
0.3,uniform,0,5000,20,10.0,5,10,0.001,2,8,0.1,0.5,0.0,10,1.136120787639706,1.2778880304887539,2
0.3,uniform,0,5000,20,10.0,5,10,0.001,2,8,0.1,0.5,0.0,10,1.922785992555732,3.783186150743486,3
0.3,uniform,0,5000,20,10.0,5,10,0.001,2,8,0.1,0.5,0.0,10,2.044878552277515,4.175814834502484,4
0.3,0.0,10,20,uniform,0.001,5000,0,5,8,0.5,10.0,2,0.1,mean,5,10.0,0.0,1.4148025538162572,0.49172546859069477,2.267933422067599,1.4387674642938642
0.3,uniform,0,5000,20,10.0,6,10,0.001,2,8,0.1,0.5,0.0,10,0.9028398551171392,0.8385610696939595,0
0.3,uniform,0,5000,20,10.0,6,10,0.001,2,8,0.1,0.5,0.0,10,0.594289383700758,0.3539402518256174,1
0.3,uniform,0,5000,20,10.0,6,10,0.001,2,8,0.1,0.5,0.0,10,0.9193445741145294,0.8154927670397492,2
