alpha,mode,use_networkx,n,d,outlier_scale,exp_list_T,exp_list_R,exp_list_lambda,exp_list_dL,exp_list_r,exp_list_theta,exp_list_rho,exp_list_cluster_radius,exp_list_num_cands,exp_list_best_err,exp_list_best_mse
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.05,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.1,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.3,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.05,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.1,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,1,7,0.7619735314998531,0.6294703360130741
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,2,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,3,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,1,7,0.7619735314998531,0.6294703360130741
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,2,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,3,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,4,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,5,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,6,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,1,7,0.7619735314998531,0.6294703360130741
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,2,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,3,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,4,1,0.9118758930244344,0.8610922161521921
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0,10,0.7277112796569178,0.5235050106662142,0
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0,10,0.6973886952563727,0.49452529532934697,1
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0,10,0.8207160054131601,0.6491034083720022,2
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0,10,1.0651279927502304,1.155276458228828,3
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0,10,1.2962954280968,1.7199736688262488,4
0.3,0,10,20,uniform,0.001,5000,0,7,8,0.5,10.0,2,0.1,mean,5,10.0,0.0,0.9214478802346961,0.227612810822394,0.9084767682845281,0.47037664110864014
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,1,9,0.7277112796569178,0.5235050106662142,0
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,1,4,0.7321103005889248,0.5282233846413344,1
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,1,7,0.6918128237930252,0.45645084762288446,2
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,1,9,1.0651279927502304,1.155276458228828,3
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,1,10,1.2962954280968,1.7199736688262488,4
0.3,1,10,20,uniform,0.001,5000,0,7,8,0.5,10.0,2,0.1,mean,5,7.8,2.1354156504062622,0.9026115649771796,0.23895416867040753,0.8766858739971021,0.4922412669887173
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,2,1,0.8609779581846178,0.8001126330929276,0
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,2,1,0.6102632924310435,0.3746376102822961,1
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,2,1,0.6506596023959219,0.4083274162992047,2
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,2,1,1.5136346143813133,2.2993939005961366,3
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,2,1,1.830030160389898,3.351466060463743,4
0.3,2,10,20,uniform,0.001,5000,0,7,8,0.5,10.0,2,0.1,mean,5,1.0,0.0,1.093113125556559,0.4904448707506984,1.4467875241468615,1.1832862044305732
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,3,1,0.8609779581846178,0.8001126330929276,0
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,3,1,0.6102632924310435,0.3746376102822961,1
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,3,1,0.6506596023959219,0.4083274162992047,2
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,3,1,1.5136346143813133,2.2993939005961366,3
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,3,1,1.830030160389898,3.351466060463743,4
