alpha,mode,use_networkx,n,d,outlier_scale,exp_list_T,exp_list_R,exp_list_lambda,exp_list_dL,exp_list_num_cands,exp_list_best_err,exp_list_best_mse
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,3,10,1.0638420652508884,1.1650322972557707
0.3,uniform,0,5000,20,10.0,7,10,0.001,4,10,1.2451430842432305,1.6346093831618072
0.3,uniform,0,5000,20,10.0,7,10,0.001,5,10,1.4389871333074706,2.0858802877532545
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,3,10,1.0638420652508884,1.1650322972557707
0.3,uniform,0,5000,20,10.0,7,10,0.001,4,10,1.2451430842432305,1.6346093831618072
0.3,uniform,0,5000,20,10.0,7,10,0.001,5,10,1.4389871333074706,2.0858802877532545
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,3,10,1.0638420652508884,1.1650322972557707
0.3,uniform,0,5000,20,10.0,7,10,0.001,4,10,1.2451430842432305,1.6346093831618072
0.3,uniform,0,5000,20,10.0,7,10,0.001,5,10,1.4389871333074706,2.0858802877532545
0.3,uniform,0,5000,20,10.0,7,10,0.001,6,10,1.5780044547040053,2.549468520480743
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.697801266127236,0.5027261142793489
0.3,uniform,0,5000,20,10.0,7,10,0.001,3,8,0.1,0.5,0.0,10,1.0638420652508884,1.1650322972557707
0.3,uniform,0,5000,20,10.0,7,10,0.001,4,8,0.1,0.5,0.0,10,1.2451430842432305,1.6346093831618072
0.3,uniform,0,5000,20,10.0,7,10,0.001,5,8,0.1,0.5,0.0,10,1.4389871333074706,2.0858802877532545
0.3,uniform,0,5000,20,10.0,7,10,0.001,6,8,0.1,0.5,0.0,10,1.5780044547040053,2.549468520480743
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.7277112796569178,0.5235050106662142,0
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.6973886952563727,0.49452529532934697,1
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,0.8207160054131601,0.6491034083720022,2
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.0651279927502304,1.155276458228828,3
0.3,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.2962954280968,1.7199736688262488,4
0.3,0.0,10,20,uniform,0.001,5000,0,7,8,0.5,10.0,2,0.1,mean,5,10.0,0.0,0.9214478802346961,0.227612810822394,0.9084767682845281,0.47037664110864014
0.3,uniform,0,5000,20,10.0,7,10,0.001,3,8,0.1,0.5,0.0,10,1.0928539748766128,1.2602990412462496,0
0.3,uniform,0,5000,20,10.0,7,10,0.001,3,8,0.1,0.5,0.0,10,0.6757824679436876,0.45804587361379345,1
0.3,uniform,0,5000,20,10.0,7,10,0.001,3,8,0.1,0.5,0.0,10,1.025710711891517,1.0242208734409393,2
0.3,uniform,0,5000,20,10.0,7,10,0.001,3,8,0.1,0.5,0.0,10,1.6789836258800088,2.8346462264186068,3
0.3,uniform,0,5000,20,10.0,7,10,0.001,3,8,0.1,0.5,0.0,10,1.9431245022134478,3.6714874724809325,4
0.3,0.0,10,20,uniform,0.001,5000,0,7,8,0.5,10.0,3,0.1,mean,5,10.0,0.0,1.283291056561055,0.461223023427967,1.8497398974401045,1.204536354114561
0.3,uniform,0,5000,20,10.0,7,10,0.001,4,8,0.1,0.5,0.0,10,1.1650632378816246,1.4626308745949654,0
0.3,uniform,0,5000,20,10.0,7,10,0.001,4,8,0.1,0.5,0.0,10,0.8594398044788766,0.7479045551054325,1
0.3,uniform,0,5000,20,10.0,7,10,0.001,4,8,0.1,0.5,0.0,10,1.1160220575625308,1.1958190770435508,2
