alpha,mode,use_networkx,n,d,outlier_scale,exp_single_dL,exp_single_lambda,exp_list_T,exp_list_R,exp_list_lambda,ols_err,ols_mse,ridge_err,ridge_mse,huber_err,huber_mse,ransac_err,ransac_mse,theilsen_err,theilsen_mse,exp_single_err,exp_single_mse,exp_list_num_cands,exp_list_best_err,exp_list_best_mse
0.4,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.342422925463703,5.733209369398308,2.342086927022399,5.731015478760874,1.244883999979076,1.6193919466907536,3.7806074068297724,14.460806557412642,2.247875242071202,5.236349183604501,2.36382724075157,5.84578398992456,10,0.738483750942308,0.565982880332743
0.3,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,2.7102580536725838,7.7095466362237275,2.7104122748115858,7.7103351119763115,2.052654750434587,4.431514937584117,5.787153349680333,35.37290970006494,2.6560327642636286,7.345296821326587,2.728131808056537,7.803070601588164,10,0.697801266127236,0.5027261142793489
0.2,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.142505180314581,10.252459498765829,3.14298817839184,10.256108863942172,2.777977710745064,7.990192982607294,6.000662819870932,34.136820586602,3.114018207162844,10.080887298257563,3.136003749063984,10.210687980149377,10,1.26772928308235,1.6214025635449845
0.1,uniform,0,5000,20,10.0,2,0.0001,7,10,0.001,3.619798573881083,13.717453136534841,3.6208408774862644,13.726701743599778,3.4909746711581278,12.75800773053537,7.110518369527179,50.53779853157501,3.563900308934762,13.239819921851604,3.634950198580807,13.824590919183786,10,2.915706751110872,8.626440448493927
0.4,uniform,0,5000,50,10.0,2,0.0001,7,10,0.001,3.9058643593961526,15.891263933787126,3.9031146572453843,15.867406100459327,2.7691197061315074,7.964116696832513,7.050556840276405,48.9162416181349,3.9423786173761868,16.22156172414704,3.9130945643480417,15.956828767649252,10,2.4014491251967556,5.738944657600549
0.3,uniform,0,5000,50,10.0,2,0.0001,7,10,0.001,4.524270964334678,21.20150626833755,4.523484355766852,21.193355997709222,3.9826334182232945,16.3761135931479,11.49307015177548,132.8145268594882,4.539421294820066,21.50050494182686,4.555845264688027,21.54806390543822,10,2.5795138803084656,7.089736155922263
0.2,uniform,0,5000,50,10.0,2,0.0001,7,10,0.001,5.162681540873781,27.7197814659068,5.161639358747395,27.707951733288866,4.90877470191978,25.01107545218669,12.924618591915097,164.31983004013114,5.220927845244307,28.460165246916223,5.175896854491738,27.913580318126858,10,4.113044944701771,17.149948847134933
0.1,uniform,0,5000,50,10.0,2,0.0001,7,10,0.001,5.7579984085699865,34.98615247522683,5.758177005935683,34.98827787947497,5.722247485075437,34.61870590904187,13.410845717762923,182.4959136114968,5.669147595095134,34.10775322798896,5.767717857168873,35.07660376559763,10,4.8455747995157,25.178855114678846
0.4,uniform,0,10000,20,10.0,2,0.0001,7,10,0.001,2.38663793478337,5.927871689548118,2.387175138828551,5.930717453242686,1.2694783758873975,1.6657686696529064,6.260780529751068,40.656507625886086,2.324905077461422,5.603503000986039,2.4049448001890816,6.022119572078962,10,0.7776012973411998,0.5943654585416264
0.3,uniform,0,10000,20,10.0,2,0.0001,7,10,0.001,2.7293045606088984,7.803908824359609,2.730075328219959,7.808526232183691,2.0098955032958656,4.241666699493626,5.251970956039092,26.679930149792064,2.6543843528840196,7.3885860109414585,2.741416944382073,7.877386540758332,10,1.224572729786995,1.5695088247740514
0.2,uniform,0,10000,20,10.0,2,0.0001,7,10,0.001,3.052873548817068,9.7216977474337,3.0532302919748724,9.724091576000072,2.664343925737073,7.406403375290216,7.581826287284922,57.241285364062044,2.9813210034150837,9.230175878605568,3.051298197326133,9.709732802350013,10,1.905663132496393,3.8009018172845543
0.1,uniform,0,10000,20,10.0,2,0.0001,7,10,0.001,3.5342765759742054,13.057699125683799,3.534486270151418,13.059326796443406,3.404398523037375,12.134958747284653,8.37725026544375,72.3646502726656,3.659894900033239,13.856675634174898,3.521840379317341,12.955483779071647,10,2.929042158006689,8.986792076645234
0.4,uniform,0,10000,50,10.0,2,0.0001,7,10,0.001,3.9501950074732775,16.432948633383255,3.9502328110030347,16.433505870650112,2.8714961316551944,8.685238720538594,11.086052621063388,131.7159534072586,3.9332029905779944,16.194595240121355,3.9517428012073306,16.466633678938297,10,1.7766446697654412,3.331529042878613
0.3,uniform,0,10000,50,10.0,2,0.0001,7,10,0.001,4.653624790396508,22.610495704795458,4.6533310388379165,22.608310268505033,4.036337518654423,16.999606136286697,11.552161086872273,134.92819707132762,4.607396255816888,22.122269312881848,4.64750813826688,22.572364656394342,10,3.321780774555406,11.361123877467456
0.2,uniform,0,10000,50,10.0,2,0.0001,7,10,0.001,5.126807716992633,27.5193009340315,5.126940789623305,27.520723847661458,4.878955967405651,24.930301557970544,10.311011485624475,104.62350176276736,5.10855998566596,27.483881466577984,5.1463863078821666,27.69204488027992,10,4.031412896258434,16.809825672389554
0.1,uniform,0,10000,50,10.0,2,0.0001,7,10,0.001,5.893656433158992,36.40495835666296,5.893447721406299,36.402783868391666,5.830931565835516,35.66009653059269,11.79767079462116,136.106011625108,5.86722913764959,36.197807274461276,5.890701732858716,36.354821865760314,10,5.344404862227296,29.335519389437117
